Course,Title,Program,Quantitative Reasoning,Scientific Inquiry,Artistic Process,Social Inequality,Cultural Differences,Ethical Judgment
RUSE 203,Russian Prison Literature,Russian Area Studies (English),,Substantially,,Substantially,Partially,Partially
RUSE 204,Russian Film 1917-2001,Russian Area Studies (English),,,Partially,,Substantially,
RUSE 205,Hasidism to Communism & Back,Russian Area Studies (English),,Partially,,Partially,Substantially,Partially
RUSE 206,America Through Russian Eyes,Russian Area Studies (English),,,,,Substantially,
RUSE 207,Chekhov and His Legacy,Russian Area Studies (English),,Partially,Partially,Partially,Substantially,
RUSE 208,Fantastika: SciFi & Fantasy,Russian Area Studies (English),,,,,Substantially,
RUSE 209,"Flora, Fauna, and Society",Russian Area Studies (English),,,,,Substantially,Substantially
RUSE 237,Russian Folklore,Russian Area Studies (English),,Substantially,,Substantially,Substantially,
RUSE 251,"Sex Power,&Creat'vity Rus Lit",Russian Area Studies (English),,Partially,,Partially,Substantially,Partially
RUSE 350,"Dead Russians, Big Books",Russian Area Studies (English),,Partially,,Partially,Substantially,Partially
RUSE 351,"Sex Power,&Creat'vity Rus Lit",Russian Area Studies (English),,Partially,,Partially,Substantially,Partially
RUSE 352,Nabokov,Russian Area Studies (English),,,,,Substantially,
RUSE 353,Alienation & Intimacy,Russian Area Studies (English),,Substantially,,Substantially,Substantially,
RUSE 460,Capstone Seminar,Russian Area Studies (English),,Partially,,Partially,Substantially,Partially
SJSP 100,Fndations of Social Justice,Hobart and William Smith,,Substantially,,Substantially,,Substantially
SJSP 101,Intro Community-Based Research,Hobart and William Smith,,Substantially,,Substantially,,Substantially
SJSP 200,Fndations of Leadership Theory,Hobart and William Smith,,Substantially,,Substantially,,Substantially
SJSP 235,Frantz Fanon the Revolutionary,Hobart and William Smith,,Substantially,,Substantially,Partially,Partially
SOC 100,Intro. to Sociology,Sociology,,Substantially,,Substantially,Partially,
SOC 201,"Policy Making, lmpl., Eval",Sociology,Partially,Partially,,Partially,,Partially
SOC 205,Men and Masculinity,Sociology,,Substantially,,Substantially,,Partially
SOC 206,Kids and Contention,Sociology,,,,,,Partially
SOC 210,Gentrification,Sociology,,Partially,,Partially,,Partially
SOC 211,Research Methods,Sociology,,,,,,Partially
SOC 212,Data Analysis,Sociology,Substantially,,,,,
SOC 213,Poverty and Place,Sociology,Partially,Substantially,,Substantially,,
SOC 214,Urban Ethnography,Sociology,,Partially,,Partially,Partially,
SOC 215,From Socialism to the Market,Global Education,,,,,Substantially,Substantially
SOC 221,Race & Ethnic Relations,Sociology,,Partially,,Partially,,Partially
SOC 223,Inequalities,Sociology,,Substantially,,Substantially,,
SOC 224,Social Deviance,Sociology,,Substantially,,Substantially,,
SOC 225,Working Families,Sociology,,Partially,,Partially,,
SOC 226,Sex and Gender,Sociology,,Substantially,,Substantially,,
SOC 238,Immigrant America,Sociology,,Partially,,Partially,Partially,
SOC 241,Sociology of Sport,Sociology,,Partially,,Partially,,
SOC 242,Sociology of Bus/Mgmt,Sociology,,,,,Partially,Substantially
SOC 244,Religion in Amer Soc,Sociology,,,,,Partially,
SOC 245,Sociology of Work,Sociology,,,,,,Partially
SOC 251,Soc of the City,Sociology,,Partially,,Partially,,
SOC 255,Social Problems in Ireland,Sociology,,Partially,,Partially,Substantially,Substantially
SOC 258,Social Problems,Sociology,,Partially,,Partially,,
SOC 259,Social Movements,Sociology,,Substantially,,Substantially,,
SOC 261,Sociology of Education,Sociology,,Partially,,Partially,,
SOC 263,Juvenile Delinquency,Sociology,,Partially,,Partially,,
SOC 265,Penology,Sociology,,Substantially,,Substantially,,Substantially
SOC 266,Sociology of Police & Policing,Sociology,,Substantially,,Substantially,,Substantially
SOC 290,Sociology of Community,Sociology,,,,,,Substantially
SOC 291,Ghettos and Ethnic Enclaves,Sociology,,Substantially,,Substantially,Substantially,
SOC 295,Alcohol Use and Abuse,Sociology,,,,,,
SOC 299,Vietnam: Conflict & Change,Sociology,,,,,Substantially,Substantially
SOC 300,Classical Soc. Theory,Sociology,,,,,,Substantially
SOC 301,Modern Sociological Theory,Sociology,,Partially,,Partially,Partially,Partially
SOC 314,Social Statistics with R,Sociology,Substantially,,,,,
SOC 353,Global Cities,Sociology,,Partially,,Partially,Partially,
SOC 357,Race and Education,Sociology,,Partially,,Partially,,
SOC 362,Criminology,Sociology,,Partially,,Partially,,
SOC 370,"Religion,Politics,&Lifestyle",Sociology,,,,,Substantially,Partially
SOC 375,Social Policy,Sociology,,Substantially,,Substantially,,Partially
SOC 465,Sr Seminar: Research Practicum,Sociology,Partially,,,,,Partially
SPN 101,Beginning Spanish I,Spanish,,,,,Partially,
SPN 102,Beginning Spanish II,Spanish,,,,,Partially,
SPN 201,Intermediate Spanish I,Spanish,,,,,Partially,
SPN 202,Intermediate Spanish II,Spanish,,,,,Partially,
SPN 203,Span for Conversation & Debate,Spanish,,,,,Substantially,
SPN 225,Hispanic Media: Contemp. Issue,Spanish,,Partially,Partially,Partially,Substantially,
SPN 231,Spanish for the Professions,Spanish,,,,,Substantially,
SPN 260,Spanish Writing Workshop,Spanish,,,Partially,,Partially,
SPN 304,Latinx-Latin Amer Literature,Spanish,,Substantially,,Substantially,Substantially,
SPN 306,Linguistica Espanola,Spanish,,,,,Substantially,
SPN 308,Culture & Identity in Latin Am,Spanish,,Substantially,,Substantially,Substantially,
SPN 316,Voces De Mujeres,Spanish,,Substantially,,Substantially,Substantially,
SPN 318,La Espana del Siglo de Oro,Spanish,,Partially,,Partially,Substantially,Partially
SPN 319,Animals in the Hispanic World,Spanish,,,,,Substantially,Substantially
SPN 332,Literatura infantil,Spanish,,,Partially,,Substantially,
SPN 340,Sounds of Spanish,Spanish,,Partially,,Partially,Substantially,Partially
SPN 344,Rutas literarias de Espana,Spanish,,,,,Substantially,Substantially
SPN 345,Latin American Lit. Frontiers,Spanish,,Substantially,,Substantially,Substantially,
SPN 355,Contemporary Theater,Spanish,,Partially,Partially,Partially,Substantially,
SPN 360,Topics: Hispanic Studies,Spanish,,,,,Substantially,
SPN 362,"Two Wars, Two Generations",Spanish,,Partially,,Partially,Substantially,Partially
SPN 372,Contemporary Spanish Novel,Spanish,,Partially,,Partially,Substantially,Partially
SPN 374,In the Shadow of Dulcinea,Spanish,,,,,Substantially,Substantially
SPN 385,Sounds of Spanish,Spanish,,Partially,,Partially,Substantially,
SPN 410,Golden Age:Renaissance & Baroq,Spanish,,Partially,,Partially,Substantially,Partially
SPNE 210,Bilingual Education,Hobart and William Smith,,Partially,,Partially,Substantially,Partially
SPNE 311,Latino Experience,Spanish,,Substantially,,Substantially,Substantially,
SPNE 404,Lorca and Almodovar,Spanish and Hispanic Studies,,Partially,,Partially,Substantially,Partially
SUMM 107,Exploring the Water Cycle,Educational Studies,Partially,,,,,
THTR 100,Page to Stage,Theatre,,,Partially,,,
THTR 130,Acting I,Theatre,,,Substantially,,,
THTR 160,Introduction to Stagecraft,Theatre,,,Substantially,,,
THTR 220,Theatre History I,Theatre,,,Partially,,Substantially,
THTR 280,Stage Management,Theatre,,,Partially,,,Partially
THTR 290,Theater For Social Change,Theatre,,,Substantially,,,Partially
THTR 300,American Drama,Theatre,,,Partially,,,
THTR 308,Amer. Experimental Theatres,Theatre,,,Partially,,,
THTR 309,Feminist Theatre,Theatre,,Substantially,Partially,Substantially,,
THTR 310,African American Theatre,Theatre,,Substantially,,Substantially,,
THTR 315,Modern European Theatre,Theatre,,,Partially,,,
THTR 320,Theatre History II,Theatre,,,Partially,,Substantially,
THTR 330,Acting II,Theatre,,,Substantially,,,
THTR 335,Shakespearean Performance,Theatre,,,Substantially,,,
THTR 340,Advanced Acting Styles,Theatre,,,Substantially,,,
THTR 360,Intro. to Lighting Design,Theatre,,,Substantially,,,
THTR 361,Sound Design for Theatre,Theatre,,,Substantially,,,
THTR 362,Designing for Theatre,Theatre,,,Substantially,,,
THTR 370,Playwriting Workshop,Theatre,,,Substantially,,,
THTR 480,Directing,Theatre,,,Substantially,,,
THTR 490,Senior Capstone,Theatre,,,Substantially,,,
THTR 900,Theatre Production,Theatre,,,Substantially,,,
URST 210,Gentrification,Urban Studies,,Partially,,Partially,,Partially
URST 214,Urban Ethnography,Urban Studies,,Partially,,Partially,Partially,
URST 353,Global Cities,Urban Studies,,Partially,,Partially,Partially,
VIET 101,Beginning Vietnamese I,Self-Instructional Language Pg,,,,,Substantially,
VIET 102,Beginning Vietnamese II,Global Education,,,,,Substantially,
VIET 204,Vietnam Transformed,Global Education,,,,,Substantially,
VIET 299,Two Cities in War and Post War,Global Education,,,,,Substantially,
WMST 100,Intro to Women's Studies,Women's Studies,,Substantially,,Substantially,Partially,Partially
WMST 150,Chicana Fem'ism&Visual Culture,Women's Studies,,Partially,Partially,Partially,Substantially,
WMST 204,The Politics of Health,Women's Studies,,Substantially,,Substantially,,Substantially
WMST 206,Sem: Reading Feminisms,Women's Studies,,Substantially,,Substantially,Substantially,
WMST 211,Place and Health,Women's Studies,,Substantially,,Substantially,,Substantially
WMST 212,Gender & Geography,Women's Studies,,Substantially,,Substantially,,Substantially
WMST 213,Transnational Feminisms,Women's Studies,,,,,Substantially,Substantially
WMST 217,Performing Mexican Identity,Women's Studies,,,Substantially,,Substantially,
WMST 218,Queer Theatre & Film,Women's Studies,,Substantially,,Substantially,,Substantially
WMST 219,Black Feminisms,Women's Studies,,Substantially,,Substantially,,Substantially
WMST 220,The Body Politic,Women's Studies,,Substantially,,Substantially,Partially,Partially
WMST 223,Intro Social Psychology,Women's Studies,,Substantially,,Substantially,,Partially
WMST 247,"History, Psychology and Fem",Women's Studies,,Substantially,,Substantially,Partially,
WMST 300,Feminist Theory,Women's Studies,,Substantially,,Substantially,Substantially,
WMST 301,Visualizing Oral History,Women's Studies,,Partially,Substantially,Partially,,Partially
WMST 305,"Food, Feminism & Health",Women's Studies,,Substantially,,Substantially,,Substantially
WMST 308,Chicana & Latina Art,Women's Studies,,Substantially,,Substantially,Substantially,
WMST 309,Sem:Stormy Weather Ecofeminism,Women's Studies,,Substantially,,Substantially,Partially,
WMST 310,Queer Theory and Methods,Women's Studies,,Substantially,,Substantially,Substantially,Partially
WMST 323,Research in Social Psychology,Women's Studies,,Substantially,,Substantially,,
WMST 362,Topics in Feminist Health,Women's Studies,,Substantially,,Substantially,,Substantially
WMST 372,Top: Revelation or Revolution,Women's Studies,,Substantially,,Substantially,Partially,Partially
WMST 401,Senior Seminar,Women's Studies,,Substantially,,Substantially,Partially,Partially
WRRH 105,Multilingual Writer's Seminar,Writing and Rhetoric,,,,,Substantially,
WRRH 106,Multilingual Writers Sem. II,Writing and Rhetoric,,,,,Substantially,
WRRH 175,First Person Singular,Writing and Rhetoric,,,,,Partially,
WRRH 204,Nonfiction Narrative,Writing and Rhetoric,,,Partially,,,Partially
WRRH 207,Sociolinguistics,Writing and Rhetoric,,Substantially,,Substantially,,Substantially
WRRH 209,Them's Fightin' Words,Writing and Rhetoric,,,,,,Substantially
WRRH 215,Literate Lives: Rhetorics,Writing and Rhetoric,,Substantially,,Substantially,,
WRRH 262,Rhetorics of Disability,Writing and Rhetoric,,Substantially,,Substantially,Partially,Partially
WRRH 265,"He Says,She Says:Lang & Gend",Writing and Rhetoric,,Substantially,,Substantially,,
WRRH 280,Immigrant Experiences,Writing and Rhetoric,,Substantially,,Substantially,Substantially,
WRRH 284,"Black Talk, White Talk",Writing and Rhetoric,,Substantially,,Substantially,,
WRRH 315,The Rhetoric of Memory,Writing and Rhetoric,,Substantially,,Substantially,,Substantially
WRRH 320,Op-Ed: Polit/Cultural Comment,Writing and Rhetoric,,Substantially,,Substantially,,
WRRH 327,Literary Journalism,Writing and Rhetoric,,,Substantially,,,
WRRH 329,The Lyric Essay,Writing and Rhetoric,,,Substantially,,,
WRRH 330,New Media Writing,Writing and Rhetoric,,,Substantially,,,
WRRH 331,Advanced Style Seminar,Writing and Rhetoric,,,Partially,,,
WRRH 332,Food for Thought,Writing and Rhetoric,,,,,Partially,
WRRH 333,Digital Rhet/Wrtg New Tech,Writing and Rhetoric,,Substantially,,Substantially,,Partially
WRRH 335,Writing Colleagues Sem,Writing and Rhetoric,,Substantially,,Substantially,,Substantially
WRRH 345,Rhetoric of Place,Writing and Rhetoric,,Substantially,,Substantially,,Substantially
WRRH 364,Suffrage and Citizenship,Writing and Rhetoric,,Substantially,,Substantially,,
WRRH 375,Discourses of Rape in Contem C,Writing and Rhetoric,,,,,,Substantially
